Date Time, Monitor ID, Location ID, CO2(ppm), NO2(ppm), PM10(ppm), PM2.5(ppm)
17/05/2022 12:01,1,1,389, , , 
17/05/2022 12:01,1,2, , ,0.001,0
17/05/2022 12:02,1,1,386, , , 
17/05/2022 12:02,1,2, , ,0,0
17/05/2022 12:03,1,1,389, , , 
17/05/2022 12:03,1,2, , ,0,0
17/05/2022 12:04,1,1,389, , , 
17/05/2022 12:04,1,2, , ,0.004,0.001
17/05/2022 12:05,1,1,389, , , 
17/05/2022 12:05,1,2, , ,0,0
17/05/2022 12:06,1,1,386, , , 
17/05/2022 12:06,1,2, , ,0.014,0.001
17/05/2022 12:07,1,1,386, , , 
17/05/2022 12:07,1,2, , ,0.021,0.001
17/05/2022 12:08,1,1,389, , , 
17/05/2022 12:08,1,2, , ,0.001,0
17/05/2022 12:09,1,1,391, , , 
17/05/2022 12:09,1,2, , ,0.008,0.002
17/05/2022 12:10,1,1,389, , , 
17/05/2022 12:10,1,2, , ,0,0
17/05/2022 12:11,1,1,389, , , 
17/05/2022 12:11,1,2, , ,0.002,0.001
17/05/2022 12:12,1,1,386, , , 
17/05/2022 12:12,1,2, , ,0.003,0.001
17/05/2022 12:13,1,1,386, , , 
17/05/2022 12:13,1,2, , ,0.002,0.001
17/05/2022 12:14,1,1,386, , , 
17/05/2022 12:14,1,2, , ,0.001,0.001
17/05/2022 12:15,1,1,389, , , 
17/05/2022 12:15,1,2, , ,0.001,0.001
17/05/2022 12:16,1,1,389, , , 
17/05/2022 12:16,1,2, , ,0.01,0.001
17/05/2022 12:17,1,1,386, , , 
17/05/2022 12:17,1,2, , ,0.009,0.001
17/05/2022 12:18,1,1,386, , , 
17/05/2022 12:18,1,2, , ,0.007,0.001
17/05/2022 12:19,1,1,386, , , 
17/05/2022 12:19,1,2, , ,0.002,0.001
17/05/2022 12:20,1,1,386, , , 
17/05/2022 12:20,1,2, , ,0,0
17/05/2022 12:21,1,1,384, , , 
17/05/2022 12:21,1,2, , ,0.002,0.001
17/05/2022 12:22,1,1,386, , , 
17/05/2022 12:22,1,2, , ,0.001,0.001
17/05/2022 12:23,1,1,384, , , 
17/05/2022 12:23,1,2, , ,0.001,0
17/05/2022 12:24,1,1,386, , , 
17/05/2022 12:24,1,2, , ,0.003,0.001
17/05/2022 12:25,1,1,386, , , 
17/05/2022 12:25,1,2, , ,0,0
17/05/2022 12:34,1,1,436, , , 
17/05/2022 12:34,1,2, , ,0.001,0.001
17/05/2022 12:35,1,1,421, , , 
17/05/2022 12:35,1,2, , ,0,0
17/05/2022 12:36,1,1,406, , , 
17/05/2022 12:36,1,2, , ,0.002,0.001
17/05/2022 12:37,1,1,399, , , 
17/05/2022 12:37,1,2, , ,0.008,0.001
17/05/2022 12:38,1,1,394, , , 
17/05/2022 12:38,1,2, , ,0.002,0.001
17/05/2022 12:39,1,1,391, , , 
17/05/2022 12:39,1,2, , ,0.001,0
17/05/2022 12:40,1,1,389, , , 
17/05/2022 12:40,1,2, , ,0.042,0.002
17/05/2022 12:41,1,1,389, , , 
17/05/2022 12:41,1,2, , ,0.001,0
17/05/2022 12:42,1,1,389, , , 
17/05/2022 12:42,1,2, , ,0.001,0.001
17/05/2022 12:43,1,1,386, , , 
17/05/2022 12:43,1,2, , ,0.011,0.001
17/05/2022 12:44,1,1,389, , , 
17/05/2022 12:44,1,2, , ,0.001,0
17/05/2022 12:45,1,1,386, , , 
17/05/2022 12:45,1,2, , ,0,0
17/05/2022 12:46,1,1,389, , , 
17/05/2022 12:46,1,2, , ,0,0
17/05/2022 12:47,1,1,386, , , 
17/05/2022 12:47,1,2, , ,0.006,0
17/05/2022 12:48,1,1,389, , , 
17/05/2022 12:48,1,2, , ,0,0
17/05/2022 12:49,1,1,389, , , 
17/05/2022 12:49,1,2, , ,0,0
17/05/2022 12:50,1,1,389, , , 
17/05/2022 12:50,1,2, , ,0.01,0.001
17/05/2022 12:51,1,1,389, , , 
17/05/2022 12:51,1,2, , ,0.001,0.001
17/05/2022 12:52,1,1,389, , , 
17/05/2022 12:52,1,2, , ,0,0
17/05/2022 12:53,1,1,391, , , 
17/05/2022 12:53,1,2, , ,0,0
17/05/2022 12:54,1,1,391, , , 
17/05/2022 12:54,1,2, , ,0,0
17/05/2022 12:55,1,1,391, , , 
17/05/2022 12:55,1,2, , ,0.001,0.001
17/05/2022 12:56,1,1,389, , , 
17/05/2022 12:56,1,2, , ,0.001,0.001
17/05/2022 12:57,1,1,389, , , 
17/05/2022 12:57,1,2, , ,0.001,0.001
17/05/2022 12:58,1,1,391, , , 
17/05/2022 12:58,1,2, , ,0.001,0.001
17/05/2022 12:59,1,1,391, , , 
17/05/2022 12:59,1,2, , ,0.001,0.001
17/05/2022 13:00,1,1,391, , , 
17/05/2022 13:00,1,2, , ,0.003,0.001
17/05/2022 13:01,1,1,391, , , 
17/05/2022 13:01,1,2, , ,0,0
17/05/2022 13:02,1,1,391, , , 
17/05/2022 13:02,1,2, , ,0,0
17/05/2022 13:03,1,1,391, , , 
17/05/2022 13:03,1,2, , ,0.001,0.001
17/05/2022 13:04,1,1,391, , , 
17/05/2022 13:04,1,2, , ,0,0
17/05/2022 13:05,1,1,391, , , 
17/05/2022 13:05,1,2, , ,0.001,0
17/05/2022 13:11,1,1,399, , , 
17/05/2022 13:11,1,2, , ,0.001,0.001
17/05/2022 13:12,1,1,404, , , 
17/05/2022 13:12,1,2, , ,0,0
17/05/2022 13:13,1,1,401, , , 
17/05/2022 13:13,1,2, , ,0,0
17/05/2022 13:14,1,1,401, , , 
17/05/2022 13:14,1,2, , ,0.006,0.001
17/05/2022 13:15,1,1,404, , , 
17/05/2022 13:15,1,2, , ,0.001,0
17/05/2022 13:16,1,1,404, , , 
17/05/2022 13:16,1,2, , ,0,0
17/05/2022 13:17,1,1,401, , , 
17/05/2022 13:17,1,2, , ,0,0
17/05/2022 13:18,1,1,399, , , 
17/05/2022 13:18,1,2, , ,0.001,0
17/05/2022 13:19,1,1,396, , , 
17/05/2022 13:19,1,2, , ,0.002,0.001
17/05/2022 13:20,1,1,396, , , 
17/05/2022 13:20,1,2, , ,0,0
17/05/2022 13:21,1,1,401, , , 
17/05/2022 13:21,1,2, , ,0,0
17/05/2022 13:22,1,1,401, , , 
17/05/2022 13:22,1,2, , ,0.001,0
17/05/2022 13:23,1,1,401, , , 
17/05/2022 13:23,1,2, , ,0.004,0.001
17/05/2022 13:24,1,1,404, , , 
17/05/2022 13:24,1,2, , ,0.001,0.001
17/05/2022 13:25,1,1,406, , , 
17/05/2022 13:25,1,2, , ,0.008,0.002
17/05/2022 13:26,1,1,426, , , 
17/05/2022 13:26,1,2, , ,0.013,0.001
17/05/2022 13:27,1,1,426, , , 
17/05/2022 13:27,1,2, , ,0.004,0.002
17/05/2022 13:28,1,1,426, , , 
17/05/2022 13:28,1,2, , ,0.001,0
17/05/2022 13:29,1,1,421, , , 
17/05/2022 13:29,1,2, , ,0.001,0
17/05/2022 13:30,1,1,414, , , 
17/05/2022 13:30,1,2, , ,0.008,0.001
17/05/2022 13:31,1,1,411, , , 
17/05/2022 13:31,1,2, , ,0,0
17/05/2022 13:32,1,1,409, , , 
17/05/2022 13:32,1,2, , ,0.002,0.001
17/05/2022 13:33,1,1,406, , , 
17/05/2022 13:33,1,2, , ,0.001,0.001
